location,gdp_score,HDI_score,daily_vac_score,pop_score,distance,SUM
Afghanistan,4,3,6,6,9,28
Angola,6,4,3,6,9,28
Antigua and Barbuda,8,8,10,1,4,31
Armenia,7,8,2,4,8,29
Bahamas,9,9,7,2,1,28
Benin,4,4,6,5,8,27
Bhutan,7,6,5,3,9,30
Bosnia and Herzegovina,7,8,1,4,8,28
Botswana,8,7,7,4,10,36
Brunei,10,9,9,2,10,40
Burkina Faso,4,2,6,6,8,26
Burundi,2,2,6,5,10,25
Cameroon,5,4,3,6,9,27
Cape Verde,6,6,6,2,7,27
Central African Republic,2,1,6,4,9,22
Chad,4,1,6,5,9,25
Comoros,3,4,7,3,10,27
Congo,6,4,2,4,9,25
Cote d'Ivoire,5,4,3,6,8,26
Cuba,7,8,3,5,1,24
Democratic Republic of Congo,2,3,6,7,9,27
Djibouti,4,3,6,3,10,26
Dominica,7,7,10,1,4,29
Equatorial Guinea,8,5,5,3,9,30
Eritrea,3,2,6,4,9,24
Eswatini,6,5,3,3,10,27
Ethiopia,4,3,6,7,10,30
Fiji,7,7,6,3,8,31
Gabon,8,7,4,4,9,32
Gambia,3,3,6,4,7,23
Georgia,7,9,5,4,8,33
Ghana,5,5,3,6,8,27
Grenada,7,8,10,1,4,30
Guinea,4,3,6,5,8,26
Guinea-Bissau,3,3,6,4,7,23
Haiti,4,3,6,5,2,20
Iraq,8,6,6,6,9,35
Jamaica,7,7,3,4,2,23
Kenya,5,5,3,6,10,29
Kosovo,7,8,2,4,8,29
Kyrgyzstan,5,7,3,5,9,29
Laos,6,5,2,5,10,28
Lesotho,5,3,3,4,10,25
Liberia,2,3,6,4,8,23
Libya,8,7,5,5,8,33
Madagascar,3,4,6,6,10,29
Malawi,3,3,6,5,10,27
Mali,4,2,5,5,8,24
Marshall Islands,5,7,10,1,8,31
Mauritania,5,4,3,4,7,23
Micronesia,5,5,10,1,9,30
Moldova,6,8,3,4,8,29
Mozambique,3,2,6,6,10,27
Namibia,7,6,2,4,10,29
Nicaragua,6,6,3,5,2,22
Niger,2,1,6,6,8,23
Nigeria,6,4,2,7,8,27
North Macedonia,7,8,2,4,8,29
Palestine,5,7,2,4,9,27
Papua New Guinea,5,4,3,5,10,27
Saint Kitts and Nevis,9,8,10,1,3,31
Saint Lucia,7,8,10,2,4,31
Saint Vincent and the Grenadines,7,7,10,1,4,29
Samoa,6,7,10,2,8,33
Sao Tome and Principe,5,5,10,2,9,31
Sierra Leone,3,2,6,5,8,24
Solomon Islands,4,4,5,3,9,25
Somalia,1,1,6,5,10,23
South Sudan,3,2,6,5,9,25
Sudan,5,3,3,6,9,26
Suriname,7,7,6,3,5,28
Syria,5,4,1,5,9,24
Taiwan,9,10,4,6,9,38
Tajikistan,5,6,3,5,9,28
Tanzania,4,4,4,6,10,28
Timor,6,5,2,3,10,26
Togo,3,3,6,5,8,25
Tunisia,7,7,3,5,8,30
Uganda,4,4,6,6,10,30
Uzbekistan,6,7,3,6,9,31
Vanuatu,5,5,10,2,9,31
Vietnam,6,7,1,7,10,31
World,8,7,6,10,0,31
Yemen,3,2,6,6,10,27
Zambia,5,5,1,5,10,26
