location,continent,Days,total_cases,total_cases_per_million,people_vaccinated,Total vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,Vaccinations performed as a percentage of population per day,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Albania,Europe,52,"115,442","40,115","6,073","15,607",0.75,0.02,89.81,"2,877,800",0.0104%,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,9146807.16
Algeria,Africa,21,"114,851","2,619",,"69,070",0.17,,92.13,"43,851,043",0.0075%,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,8769592.944
Andorra,Europe,33,"11,130","144,050","3,650","2,547",6.36,1.64,59.26,"77,265",0.0999%,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,7844922.997
Anguilla,North America,22,,,"3,929","5,173",26.19,,,"15,002",1.5674%,,,,,,,,,,,,,81.88,,3808635.48
Argentina,South America,67,"2,177,898","48,188","1,564,555","1,385,556",4.25,0.78,100,"45,195,777",0.0458%,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,9017651.792
Australia,Oceania,13,"29,102","1,141","125,000","76,073",0.49,,81.94,"25,499,881",0.0229%,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,15184481.06
Austria,Europe,53,"484,916","53,841","667,570","802,973",10.32,2.91,82.41,"9,006,400",0.1682%,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8343950.367
Azerbaijan,Asia,45,"238,383","23,511","436,849","298,349",4.31,,96.3,"10,139,175",0.0654%,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,10645993.03
Bahrain,Asia,74,"129,081","75,859","312,104","497,899",30.58,12.24,78.7,"1,701,583",0.3954%,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,12173566.74
Bangladesh,Asia,37,"554,156","3,365","4,013,963","3,721,337",2.44,,93.52,"164,689,383",0.0611%,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,13227347.4
Barbados,North America,18,"3,372","11,734","49,757","46,442",17.31,,88.89,"287,371",0.8978%,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,4462094.935
Belarus,Europe,52,"298,960","31,638","20,944","20,956",0.22,,27.78,"9,449,321",0.0043%,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,8565846.652
Belgium,Europe,68,"798,108","68,864","687,558","943,402",9.02,3.08,81.48,"11,589,616",0.1197%,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,7553906.574
Belize,North America,5,"12,359","31,082","4,933",995,1.24,,85.19,"397,621",0.0500%,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,2323118.058
Bermuda,North America,52,,,"15,294","22,118",38.44,13.88,61.11,"62,273",0.6830%,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,2865853.003
Bolivia,South America,37,"257,240","22,037","122,348","107,442",1.13,0.09,96.3,"11,673,029",0.0249%,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,6823104.194
Brazil,South America,49,"11,277,717","53,057","8,092,244","10,576,542",5.05,1.25,81.02,"212,559,409",0.1015%,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,7316934.935
Bulgaria,Europe,68,"272,700","39,246","270,587","293,189",4.67,0.78,73.15,"6,948,445",0.0621%,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,9332654.481
