location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Afghanistan,Asia,55917,1436.409,,,,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,11932580.45
Africa,,4006913,2988.899,,,,,1340598113,,,,,,,,,,,,,,,NULL
Angola,Africa,21205,645.19,6169,0.02,,90.74,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,12841319.15
"Antigua and Barbuda","North America",882,9006.617,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,3994944.926
Armenia,Asia,176286,59491.083,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,10546718.11
Asia,,25909592,5584.147,,,,,4639847425,,,,,,,,,,,,,,,NULL
Bahamas,"North America",8642,21975.954,,,,96.3,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,2193301.182
Benin,Africa,6501,536.245,,,,70.83,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,10086594.87
Bhutan,Asia,868,1124.918,,,,97.22,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,12802760.15
"Bosnia and Herzegovina",Europe,140990,42974.078,,,,92.59,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,8788644.62
Botswana,Africa,34098,14499.761,,,,86.11,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,14127057.13
Brunei,Asia,192,438.874,,,,58.33,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,14414704.91
"Burkina Faso",Africa,12275,587.228,,,,89.81,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,9552235.902
Burundi,Africa,2396,201.501,,,,27.31,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,13338906.18
Cameroon,Africa,40622,1530.257,,,,71.3,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,11082929.45
"Cape Verde",Africa,15932,28655.295,,,,87.96,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,7336934.746
"Central African Republic",Africa,5023,1040.009,,,,75.93,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,11855530.77
Chad,Africa,4246,258.495,,,,88.89,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,11014950.73
Comoros,Africa,3615,4157.108,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,15114221.48
Congo,Africa,9329,1690.621,,,,97.22,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,11917220.47
"Cote d'Ivoire",Africa,36511,1384.131,8802,0.03,,80.56,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,9517479.956
Cuba,"North America",59157,5222.831,,,,100,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,2444942.586
"Democratic Republic of Congo",Africa,26759,298.778,,,,80.56,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,12695763.83
Djibouti,Africa,6234,6309.704,,,,94.44,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,13048467.18
Dominica,"North America",151,2097.484,7202,10,,79.63,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,4149960.429
"Equatorial Guinea",Africa,6456,4601.617,,,,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,11304386.26
Eritrea,Africa,3009,848.46,,,,93.52,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,12567898.13
Eswatini,Africa,17215,14838.419,,,,89.81,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,14943000
Ethiopia,Africa,171210,1489.254,,,,80.56,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,13143577.91
Europe,,35945097,48011.291,,,,,748680069,,,,,,,,,,,,,,,NULL
"European Union",,23704972,53279.291,32408063,10.48,3.19,,444919060,,,,,,,,,,,,,,,NULL
Fiji,Oceania,66,73.624,,,,88.89,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,10669728.08
Gabon,Africa,16313,7329.287,,,,81.48,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,11590698.56
Gambia,Africa,4792,1982.899,,,,78.7,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,8268747.359
Georgia,Asia,274045,68697.162,,,,100,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,10260173.56
Ghana,Africa,86737,2791.399,300000,0.97,,86.11,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,9887879.876
Grenada,"North America",148,1315.333,3000,2.67,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,4373544.988
Guinea,Africa,17372,1322.796,,,,78.7,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,8991899.309
Guinea-Bissau,Africa,3380,1717.481,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,8385913.906
Haiti,"North America",12594,1104.491,,,,93.52,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,3041081.639
International,,721,,,,,,,,,,,,,,,,,,,,,NULL
Iraq,Asia,745642,18537.931,,,,96.3,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,11135866.45
Jamaica,"North America",28968,9782.649,,,,87.04,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2772361.985
