location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Albania,Europe,115442,40114.671,6073,0.75,0.02,89.81,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,9146807.16
Algeria,Africa,114851,2619.117,,0.17,,92.13,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,8769592.944
Andorra,Europe,11130,144049.699,3650,6.36,1.64,59.26,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,7844922.997
Anguilla,"North America",,,3929,26.19,,,15002,,,,,,,,,,,,,81.88,,3808635.48
Argentina,"South America",2177898,48188.086,1564555,4.25,0.78,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,9017651.792
Australia,Oceania,29102,1141.26,125000,0.49,,81.94,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,15184481.06
Austria,Europe,484916,53841.268,667570,10.32,2.91,82.41,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8343950.367
Azerbaijan,Asia,238383,23511.084,436849,4.31,,96.3,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,10645993.03
Bahrain,Asia,129081,75859.362,312104,30.58,12.24,78.7,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,12173566.74
Bangladesh,Asia,554156,3364.856,4013963,2.44,,93.52,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,13227347.4
Barbados,"North America",3372,11733.961,49757,17.31,,88.89,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,4462094.935
Belarus,Europe,298960,31638.252,20944,0.22,,27.78,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,8565846.652
Belgium,Europe,798108,68864.059,687558,9.02,3.08,81.48,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,7553906.574
Belize,"North America",12359,31082.362,4933,1.24,,85.19,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,2323118.058
Bermuda,"North America",,,15294,38.44,13.88,61.11,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,2865853.003
Bolivia,"South America",257240,22037.125,122348,1.13,0.09,96.3,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,6823104.194
Brazil,"South America",11277717,53056.776,8092244,5.05,1.25,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,7316934.935
Bulgaria,Europe,272700,39246.191,270587,4.67,0.78,73.15,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,9332654.481
Cambodia,Asia,1225,73.27,129908,0.78,,68.52,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,14084199.45
Canada,"North America",905339,23987.474,2131715,7.2,1.56,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,2261623.454
"Cayman Islands","North America",,,17702,40.44,13.51,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92,,2446080.535
Chile,"South America",873512,45694.834,4618528,32.09,7.93,87.5,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,8466824.253
China,Asia,101225,70.328,,3.65,,81.94,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,11647281.98
Colombia,"South America",2290539,45015.904,270411,0.94,,90.74,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,4222325.81
"Costa Rica","North America",207832,40798.459,151841,4.02,1.04,81.48,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,3269037.099
Croatia,Europe,248838,60614.313,202167,6.46,1.54,96.3,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,8553882.598
Cyprus,Europe,38496,43950.273,53617,11.42,2.58,94.44,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,10420962.53
Czechia,Europe,1365724,127530.703,711725,9.33,2.69,82.41,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,8234396.421
Denmark,Europe,219351,37870.047,572040,13.75,3.88,72.22,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,7487921.428
"Dominican Republic","North America",244923,22577.91,606006,5.59,,100,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,3216312.059
Ecuador,"South America",297957,16888.057,69030,0.43,0.04,93.52,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,4690735.607
Egypt,Africa,189000,1846.886,,0,,84.26,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,10976408.8
"El Salvador","North America",61814,9530.078,16000,0.25,,100,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,2677224.798
Estonia,Europe,80929,61007.63,113898,12.19,3.6,77.78,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,8050654.829
"Faeroe Islands",Europe,,,4260,16.51,7.79,59.26,48865,35.308,,,,,,,,,,,,80.67,,6374716.695
"Falkland Islands","South America",,,1732,49.73,,,3483,,,,,,,,,,,,,81.44,,10490537.25
Finland,Europe,64609,11660.763,539618,11.28,1.54,67.59,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,7823311.99
