country,iso_code,date,daily_vaccinations,cumulative_vaccinations,vaccines,day,iso_code,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,vaccinated_population_percent
Albania,ALB,2021-01-11,64,64,Pfizer/BioNTech,1,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0000
Albania,ALB,2021-01-12,64,128,Pfizer/BioNTech,2,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0000
Albania,ALB,2021-01-13,60,188,Pfizer/BioNTech,3,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0001
Albania,ALB,2021-01-14,78,266,Pfizer/BioNTech,4,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0001
Albania,ALB,2021-01-15,42,308,Pfizer/BioNTech,5,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0001
Albania,ALB,2021-01-16,61,369,Pfizer/BioNTech,6,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0001
Albania,ALB,2021-01-17,36,405,Pfizer/BioNTech,7,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0001
Albania,ALB,2021-01-18,42,447,Pfizer/BioNTech,8,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0002
Albania,ALB,2021-01-19,36,483,Pfizer/BioNTech,9,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0002
Albania,ALB,2021-01-20,36,519,Pfizer/BioNTech,10,ALB,Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,0.0002
