country;population;daily_rate;num_datapoints;R2;daily_rate_pop
Albania;2877800;641.7285714;20;0.612512128;0.000222993
Algeria;43851043;37500;3;0.7503;0.000855168
Andorra;77265;336;7;0.98291079;0.00434867
Anguilla;15002;1320.8;4;0.998495051;0.088041594
Argentina;45195777;22632.69279;48;0.940498116;0.00050077
Australia;25499881;4092.357143;20;0.865796396;0.000160485
Austria;9006400;13615.31043;53;0.966769842;0.001511737
Azerbaijan;10139175;124030.5;4;0.925877757;0.0122328
Bahrain;1701583;7293.038961;22;0.246473287;0.004286032
Bangladesh;164689383;198388.2195;21;0.986582834;0.001204621
Barbados;287371;2620.343653;18;0.98984859;0.00911833
Belarus;9449321;403;2;0;4.26486E-05
Belgium;11589616;15565.95861;66;0.985495305;0.001343095
Belize;397621;239.2;5;0.952275576;0.000601578
Bermuda;62273;2548.309091;11;0.985571517;0.040921573
Bolivia;11673029;5073.230769;13;0.475821678;0.000434611
Brazil;212559409;220755.6804;50;0.989451003;0.00103856
Bulgaria;6948445;3827.682652;63;0.787055501;0.000550869
Cambodia;16718971;6617.70303;10;0.844008347;0.00039582
Canada;37742157;26914.20597;83;0.960897605;0.000713107
Cayman Islands;65720;1540.737762;12;0.802482425;0.023443971
Chile;19116209;60946.72057;73;0.770738022;0.003188222
China;1439323774;5285375.758;10;0.942945115;0.003672124
Colombia;50882884;14565.25614;19;0.937099328;0.000286251
Costa Rica;5094114;16069.30769;12;0.913939727;0.003154485
Croatia;4105268;8382.843077;26;0.919589601;0.002041972
Cyprus;875899;9282.554545;11;0.956135788;0.010597745
Czechia;10708982;11778.37535;70;0.976611834;0.001099859
Denmark;5792203;9594.368323;69;0.972852491;0.001656428
Dominican Republic;10847904;26312.14945;14;0.767258442;0.002425551
Ecuador;17643060;9312.4;9;0.874102829;0.000527822
Egypt;102334403;219;2;0;2.14004E-06
El Salvador;6486201;8000;3;0.979591837;0.001233388
Estonia;1326539;1909.328821;63;0.932904102;0.001439331
Faeroe Islands;48865;395.5909091;11;0.988906162;0.008095588
Falkland Islands;3483;866;3;0.842309952;0.248636233
Finland;5540718;10408.88517;52;0.972645696;0.001878617
France;65273512;81960.83467;69;0.950562591;0.001255652
Germany;83783945;105275.2454;69;0.973404;0.001256509
Gibraltar;33691;767.3057571;53;0.992748965;0.022774799
Greece;10423056;17772.75739;63;0.933974305;0.001705139
Greenland;56772;41;2;0;0.000722187
Guatemala;17915567;1213.5;3;0.812256463;6.77E-05
Guernsey;67052;3564.6;5;0.850696166;0.053161725
Guyana;786559;926;3;0.974776733;0.00117728
Honduras;9904608;2684;1;0;0.000270985
Hong Kong;7496988;17540;4;0.987056204;0.002339606
Hungary;9660350;16874.5826;65;0.892461821;0.001746788
Iceland;341250;1512.61039;21;0.958189897;0.004432558
India;1380004385;379081.8937;50;0.96025051;0.000274696
Indonesia;273523621;86805.33286;38;0.960720163;0.00031736
Iran;83992953;5000;3;0.949367089;5.95E-05
Ireland;4937796;12799.15354;36;0.961006583;0.002592078
Isle of Man;85032;540.0165992;39;0.990509376;0.006350746
Israel;8655541;122623.0678;78;0.994922921;0.014167002
Italy;60461828;73194.37764;70;0.98456076;0.001210588
Japan;126476458;4353.895105;12;0.982081514;3.44E-05
Jersey;101073;4542.771429;6;0.992501661;0.04494545
Jordan;10203140;35000;5;0.914179104;0.003430317
Kazakhstan;18776707;11147;3;0.978630949;0.000593661
Kuwait;4270563;86250;3;0.88538309;0.0201964
Latvia;1886202;1395.064271;44;0.930467307;0.000739616
Lebanon;6825442;3181.954263;22;0.979415953;0.00046619
Liechtenstein;38137;292.5952381;8;0.982326733;0.007672214
Lithuania;2722291;4456.263507;64;0.961737028;0.001636953
Luxembourg;625976;1135.57996;39;0.982172933;0.001814095
Macao;649342;1000;3;0.948159386;0.001540021
Malaysia;32365998;20924.92857;7;0.97851213;0.00064651
Maldives;540542;4793.822193;33;0.988991743;0.008868547
Malta;441539;1702.041685;48;0.986600861;0.003854794
Mauritius;1271767;1921.5;3;0.790274623;0.00151089
Mexico;128932753;39119.54019;66;0.831045441;0.00030341
Monaco;39244;126;2;0;0.003210682
Mongolia;3278292;1232;2;0;0.000375805
Montenegro;628062;398.1428571;6;0.907092369;0.000633923
Montserrat;4999;43;2;0;0.00860172
Morocco;36910558;153489.1501;33;0.974294807;0.004158408
Myanmar;54409794;51571;3;0.777592922;0.000947826
Nepal;29136808;125210.4;4;0.909386961;0.004297327
Netherlands;17134873;212608.9286;7;0.979348515;0.012407966
New Zealand;4822233;1499;6;0.578612329;0.000310852
Northern Cyprus;326000;5500;3;0.996890974;0.016871166
Norway;5421242;8562.903138;68;0.924701301;0.001579509
Oman;5106622;1549.375717;43;0.987530308;0.000303405
Pakistan;220892331;24418.6;4;0.995541817;0.000110545
Panama;4314768;3147.478492;47;0.689058328;0.000729466
Paraguay;7132530;250;2;0;3.50507E-05
Peru;32971846;18524.9;4;0.988805895;0.00056184
Philippines;109581085;1396;2;0;1.27394E-05
Poland;37846605;61962.45473;61;0.936610171;0.0016372
Portugal;10196707;14189.82506;69;0.951305649;0.001391609
Qatar;2881060;70000;3;0.973509934;0.024296613
Romania;19237682;27732.07552;69;0.978283243;0.00144155
Russia;145934460;761245.7091;11;0.898750029;0.005216353
Rwanda;12952209;79449;3;0.99898192;0.006134012
Saint Helena;6071;107;1;0;0.017624774
San Marino;33938;367.2;6;0.97782225;0.01081973
Saudi Arabia;34813867;56043.55789;19;0.912236925;0.001609806
Senegal;16743930;5690.126374;13;0.988605796;0.000339832
Serbia;6804596;56888.68449;34;0.947050826;0.008360332
Seychelles;98340;2544.466157;34;0.997026526;0.025874173
Singapore;5850343;64491.35152;10;0.931623792;0.011023516
Slovakia;5459643;8752.948881;62;0.979095036;0.001603209
Slovenia;2078932;2770.10285;69;0.980776393;0.001332464
South Africa;59308690;7205.370629;12;0.972529205;0.000121489
South Korea;51269183;43943.38333;9;0.916084365;0.000857111
Spain;46754783;94823.88598;44;0.985113674;0.002028111
Sri Lanka;21413250;16868.73518;37;0.893210886;0.000787771
Sweden;10099270;79289.54945;14;0.973796376;0.007851018
Switzerland;8654618;17565.75304;39;0.994764485;0.002029639
Thailand;69799978;3631;3;0.782879111;5.20E-05
Trinidad and Tobago;1399491;63;2;0;4.50164E-05
Turkey;84339067;191193.0539;53;0.922012253;0.002266957
Turks and Caicos Islands;38718;222;2;0;0.005733767
Ukraine;43733759;1947.006061;10;0.959471661;4.45E-05
United Arab Emirates;9890400;106515.6507;58;0.982676695;0.0107696
United Kingdom;67886004;392076.3937;59;0.998178038;0.005775511
United States;331002647;1430393.883;63;0.985729512;0.004321397
Uruguay;3473727;14473.68571;6;0.973251397;0.004166616
Venezuela;28435943;6097;3;0.759654767;0.000214412
Zimbabwe;14862927;2695.958242;14;0.99060483;0.000181388
